account_key,delta001,delta002,delta003,delta004,delta005,delta006,delta007,delta008,delta009,delta010,delta011,delta012,delta013,delta014,delta015,delta016,delta017,delta018,delta019,delta020,delta021,delta022,delta023,delta024,delta025,delta026,delta027,delta028,delta029,delta030,delta031,delta032,delta033,delta034,delta035,delta036,delta037,delta038,delta039,delta040,delta041,delta042,delta043,delta044,delta045,delta046,delta047,delta048,delta049,delta050,delta051,delta052,delta053,delta054,delta055,delta056,delta057,delta058,delta059,delta060,delta061,delta062,delta063,delta064,delta065,delta066,delta067,delta068,delta069,delta070,delta071,delta072,delta073,delta074,delta075,delta076,delta077,delta078,delta079,delta080,delta081,delta082,delta083,delta084,delta085,delta086,delta087,delta088,delta089,delta090,delta091,delta092,delta093,delta094,delta095,delta096,delta097,delta098,delta099,delta100,delta101,delta102,delta103,delta104,delta105,delta106,delta107,delta108,delta109,delta110,delta111,delta112,delta113,delta114,delta115,delta116,delta117,delta118,delta119,delta120,delta121,delta122,delta123,delta124,delta125,delta126,delta127,delta128,delta129,delta130,delta131,delta132,delta133,delta134,delta135,delta136,delta137,delta138,delta139,delta140,delta141,delta142,delta143,delta144,delta145,delta146,delta147,delta148,delta149,delta150,delta151,delta152,delta153,delta154,delta155,delta156,delta157,delta158,delta159,delta160,delta161,delta162,delta163,delta164,delta165,delta166,delta167,delta168,delta169,delta170,delta171
10.0,1,4,2,5,3,1,5,1,2,3,13,1,1,1,5,1,1,4,1,1,1,1,1,1,5,17,3,1,3,1,7,1,2,1,1,1,1,1,1,1,1,1,1,1,3,3,1,10,3,1,1,1,1,6,1,1,1,1,2,3,3,1,1,1,1,4,2,1,2,5,2,1,1,8,2,13,4,1,1,1,5,20,1,1,6,1,4,1,8,6,2,1,1,3,2,6,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,2,3,1,2,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,2,7,1,3,1,1,2,3,4,3,1,1,1,4,1,3,3,12,1,2,1,1,4,2,5,1,1,7,6,12,1,1,1,1,4,1,1,1,1,2,1,1,1,1,4,1,1,1,5,8,2,3,8,6,20,2,1,1,1,3,1,1,2,2,1,1,1,1,1,1,2,7,1,6,1,1,1,11,1,1,1,1,3,1,1,2,5,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,1,1,1,2,1,1,1,1,1,1,5,5,2,4,1,5,2,4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,5,3,25,1,1,1,1,1,1,6,1,1,3,2,1,5,1,1,6,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,47,1,1,3,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,3,14,1,1,1,1,1,4,1,1,1,3,1,1,2,1,1,1,1,1,1,5,3,1,1,1,1,1,1,1,1,1,2,1,5,3,4,23,1,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,3,10,1,6,1,2,1,5,1,2,12,5,1,1,3,1,14,1,15,13,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,1,4,1,1,1,8,2,1,1,1,1,1,4,2,10,16,1,1,1,2,1,2,1,3,1,1,1,13,4,2,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,1,3,1,3,2,3,1,1,1,3,3,1,1,1,7,1,2,1,2,1,1,1,1,32,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,1,1,1,1,1,1,1,1,5,1,2,1,1,2,1,2,7,1,1,1,1,1,1,1,1,15,22,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
